termo,coeficiente
coracao disparar,0.2016356319251319
coracao esta,-0.01616519168166965
coracao falhar,-0.22568302762127634
coracao falhou,-0.24632446641674316
coracao muito,-0.3074670950961361
coracao nao,0.20812760475517836
coriza,0.4439969375456171
coriza leve,0.4439969375456171
corpo,-0.2556248953544215
corpo ficou,-0.2556248953544215
correndo,0.18699013056444697
correndo mas,0.18699013056444697
correr,0.353600522286163
correr ate,0.2032379771143428
correr fiquei,0.1777043216808334
corri,0.18127463052859016
corri para,0.18127463052859016
corrida,0.17695964281427462
corrida breve,0.17695964281427462
costas,0.2607055699484339
costas depois,0.12862386000519627
costas mas,0.1522404851116077
cotovelo,0.5407277675437202
cotovelo esta,0.14075945925008204
cotovelo nao,0.14348142136533723
cotovelo tem,0.1812875067324418
couro,0.17056437275077063
couro cabeludo,0.17056437275077063
cuidada,0.22945485704403532
cuidada melhora,0.22945485704403532
curativo,0.14656781765276256
curativo nenhum,0.14656781765276256
da,0.629342869102644
da batidas,-0.25304435394729263
da blusa,0.21679290790043232
da camisa,0.18440013775041214
da corrida,0.17695964281427462
da irritacao,-0.21268664217716687
da leitura,0.4138667898853499
da limpeza,0.17319002736701897
da mao,0.1485930461530524
dar,-0.1935338723533824
dar alguns,-0.1935338723533824
das,-0.009207737595186281
das costas,0.1522404851116077
das maos,0.16230679590260572
das palpitacoes,-0.3250428043201703
de,-0.2905260321381026
de apagar,-0.26299448665029324
de ar,-0.38917577302904605
de cada,-0.19914714739314976
de cansaco,0.19189500290687664
de cantar,0.1700492774642848
de correr,0.1777043216808334
de dificuldade,-0.20872432446255662
de digitar,0.1637790678039652
de escrever,0.1748458228097258
de falar,0.5126862677755887
de la,0.12862386000519627
de ler,0.14830755998664152
de leve,0.36559794627555675
de ontem,0.21043307852024745
de outra,0.14020829058584017
de pele,0.1812875067324418
de perder,-0.24433703893301253
de peso,-0.15770973242971176
de piorar,-0.14486693177539778
de rasgar,-0.19068352284719678
de repente,-1.0083171721003659
de resto,0.14075945925008204
de sensacao,-0.24433703893301253
de sono,0.19189500290687664
de suor,-0.3013418684631146
de tanta,-0.21703530652544412
